Legend,HE shop,Crusher,Annex A,Carmen Pit
Coordinate 1,"10.340231, 123.722796","10.335661, 123.720910","10.335000, 123.720827","10.326793, 123.723391"
Coordinate 2,"10.339940, 123.723291","10.335368, 123.721744","10.334330, 123.720617","10.327441, 123.725757"
Coordinate 3,"10.339407, 123.723955","10.336085, 123.722008","10.333635, 123.720277","10.331260, 123.728484"
Coordinate 4,"10.338433, 123.723386","10.336320, 123.722627","10.333234, 123.720757","10.336005, 123.732189"
Coordinate 5,"10.337723, 123.722644","10.336529, 123.721973","10.334331, 123.721006","10.341853, 123.735967"
Coordinate 6,"10.338230, 123.721890","10.336283, 123.721334","10.334985, 123.721187","10.343817, 123.731370"
Coordinate 7,"10.338745, 123.721163",,,"10.341907, 123.727761"
Coordinate 8,"10.339597, 123.721782",,,"10.336602, 123.723161"
Coordinate 9,,,,"10.332852, 123.721826"
Coordinate 10,,,,"10.327678, 123.721866"
Coordinate 11,,,,
