Legend,HE shop,Crusher,Annex A,Carmen Pit
Coordinate 1,"10.340231, 123.722796","10.335661, 123.720910","10.335000, 123.720827","10.326905, 123.724079"
Coordinate 2,"10.339940, 123.723291","10.335368, 123.721744","10.334330, 123.720617","10.330332, 123.722520"
Coordinate 3,"10.339407, 123.723955","10.336085, 123.722008","10.333635, 123.720277","10.336193, 123.723635"
Coordinate 4,"10.338433, 123.723386","10.336320, 123.722627","10.333234, 123.720757","10.340524, 123.726938"
Coordinate 5,"10.337723, 123.722644","10.336529, 123.721973","10.334331, 123.721006","10.342535, 123.730651"
Coordinate 6,"10.338230, 123.721890","10.336283, 123.721334","10.334985, 123.721187","10.340866, 123.735605"
Coordinate 7,"10.338745, 123.721163",,,"10.333798, 123.734075"
Coordinate 8,"10.339597, 123.721782",,,"10.330035, 123.730702"
Coordinate 9,,,,
Coordinate 10,,,,
Coordinate 11,,,,
